name,ID,award,year,lgID,note
1960 U.S. Olympic Hockey Team,,Patrick,2001,NHL,
1998 U.S. Olympic Women's Hockey Team,,Patrick,1998,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Art Berglund,,Patrick,1991,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Bill Cleary,,Patrick,1996,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Bob Fleming,,Patrick,1994,NHL,
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Bob Naegele,,Patrick,2007,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Brian Burke,,Patrick,2007,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Bruce McNall,,Patrick,1992,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
Cammi Granato,,Patrick,2006,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
Charles L. Crovat,,Patrick,1973,NHL,posthumous
Charles M. Schulz,,Patrick,1980,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Dave Andrews,,Patrick,2009,NHL,
David Poile,,Patrick,2000,NHL,
Donald Clark,,Patrick,1974,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Ed Snider,snideed01h,Patrick,1979,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Fred Cusick,,Patrick,1987,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Gary Bettman,,Patrick,2000,NHL,
George Gund,,Patrick,1995,NHL,
George Leader,,Patrick,1975,NHL,
Gil Stein,,Patrick,1992,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Jack Adams,adamsja01,Patrick,1965,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Jack Parker,,Patrick,2009,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
James Norris,norrija02h,Patrick,1966,NHL,posthumous
Jeff Sauer,,Patrick,2010,NHL,
Jerry York,,Patrick,2009,NHL,
Jim Devellano,,Patrick,2008,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Joe Mullen,mullejo01,Patrick,1994,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
John Bucyk,bucykjo01,Patrick,1976,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
John Halligan,,Patrick,2006,NHL,
