year,lgID,tmID,hW,hL,hT,hOTL,rW,rL,rT,rOTL,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL
1909,NHA,COB,2,4,0.0,,2,4,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,2.0,3.0,0.0,,1,4,0,,,,,
1909,NHA,HAI,3,3,0.0,,1,5,0.0,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,,2.0,5.0,0.0,,1,0,0,,,,,
1909,NHA,LES,2,4,0.0,,0,6,0.0,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,,1.0,5.0,0.0,,1,2,0,,,,,
1909,NHA,MOS,3,2,1.0,,0,6,0.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,5.0,0.0,,1,1,0,,,,,
1909,NHA,MOW,6,0,0.0,,5,1,0.0,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,6.0,0.0,0.0,,3,0,0,,,,,
1909,NHA,OT1,5,1,0.0,,4,2,0.0,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,5.0,1.0,0.0,,0,2,0,,,,,
1909,NHA,REN,5,1,0.0,,3,2,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,4.0,2.0,0.0,,2,0,0,,,,,
1910,NHA,MOC,5,3,0.0,,3,5,0.0,,,,,,,,,,,,,,0,1,0,,4.0,2.0,0.0,,4.0,2.0,0.0,,0,3,0,,,,,
1910,NHA,MOW,4,3,0.0,,3,6,0.0,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,,3.0,6.0,0.0,,1,1,0,,,,,
1910,NHA,OT1,7,1,0.0,,6,2,0.0,,,,,,,,,,,,,,1,0,0,,6.0,0.0,0.0,,4.0,1.0,0.0,,2,2,0,,,,,
1910,NHA,QU1,2,6,0.0,,2,6,0.0,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,,3.0,6.0,0.0,,,,,,,,,
1910,NHA,REN,6,3,0.0,,2,5,0.0,,,,,,,,,,,,,,,,,,1.0,5.0,0.0,,4.0,3.0,0.0,,3,0,0,,,,,
1911,NHA,MOC,4,5,0.0,,4,5,0.0,,,,,,,,,,,,,,,,,,5.0,4.0,0.0,,2.0,6.0,0.0,,1,0,0,,,,,
1911,NHA,MOW,4,4,0.0,,5,5,0.0,,,,,,,,,,,,,,1,0,0,,4.0,3.0,0.0,,3.0,5.0,0.0,,1,1,0,,,,,
1911,PCHA,NWR,4,3,0.0,,5,3,0.0,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,,2.0,3.0,0.0,,3,1,0,,,,,
1911,NHA,OT1,6,4,0.0,,3,5,0.0,,,,,,,,,,,,,,,,,,3.0,5.0,0.0,,6.0,2.0,0.0,,0,2,0,,,,,
1911,NHA,QU1,7,2,0.0,,3,6,0.0,,,,,,,,,,,,,,0,1,0,,4.0,4.0,0.0,,5.0,3.0,0.0,,1,0,0,,,,,
1911,PCHA,VA1,4,4,0.0,,3,5,0.0,,,,,,,,,,,,,,,,,,3.0,4.0,0.0,,2.0,3.0,0.0,,2,2,0,,,,,
1911,PCHA,VML,3,5,0.0,,4,3,0.0,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,,4.0,2.0,0.0,,1,3,0,,,,,
1912,NHA,MOC,4,6,0.0,,5,5,0.0,,,,,,,,,,,,,,2,0,0,,5.0,3.0,0.0,,1.0,7.0,0.0,,1,1,0,,,,,
1912,NHA,MOW,6,4,0.0,,4,6,0.0,,,,,,,,,,,,,,1,1,0,,5.0,3.0,0.0,,3.0,5.0,0.0,,1,1,0,,,,,
1912,PCHA,NWR,3,2,0.0,,1,7,0.0,,,,,,,,,,,,,,0,2,0,,1.0,4.0,0.0,,3.0,2.0,0.0,,0,1,0,,,,,
1912,NHA,OT1,6,4,0.0,,3,7,0.0,,,,,,,,,,,,,,0,1,0,,4.0,5.0,0.0,,4.0,4.0,0.0,,1,1,0,,,,,
1912,NHA,QU1,8,2,0.0,,8,2,0.0,,,,,,,,,,,,,,2,0,0,,4.0,4.0,0.0,,8.0,0.0,0.0,,2,0,0,,,,,
1912,NHA,TBS,7,3,0.0,,2,8,0.0,,,,,,,,,,,,,,0,2,0,,3.0,5.0,0.0,,5.0,3.0,0.0,,1,1,0,,,,,
1912,NHA,TO1,3,7,0.0,,4,6,0.0,,,,,,,,,,,,,,0,1,0,,4.0,5.0,0.0,,3.0,5.0,0.0,,0,2,0,,,,,
1912,PCHA,VA1,7,1,0.0,,3,4,0.0,,,,,,,,,,,,,,2,1,0,,4.0,1.0,0.0,,3.0,2.0,0.0,,1,1,0,,,,,
1912,PCHA,VML,5,3,0.0,,2,4,0.0,,,,,,,,,,,,,,2,1,0,,2.0,2.0,0.0,,2.0,4.0,0.0,,1,0,0,,,,,
1913,NHA,MOC,9,1,0.0,,4,6,0.0,,,,,,,,,,,,,,1,1,0,,6.0,3.0,0.0,,5.0,3.0,0.0,,1,0,0,,,,,
1913,NHA,MOW,4,6,0.0,,3,7,0.0,,,,,,,,,,,,,,2,0,0,,0.0,9.0,0.0,,4.0,4.0,0.0,,1,0,0,,,,,
1913,PCHA,NWR,3,3,0.0,,4,6,0.0,,,,,,,,,,,,,,2,3,0,,2.0,4.0,0.0,,3.0,2.0,0.0,,,,,,,,,
1913,NHA,OT1,7,3,0.0,,4,6,0.0,,,,,,,,,,,,,,0,2,0,,8.0,1.0,0.0,,3.0,5.0,0.0,,0,1,0,,,,,
1913,NHA,QU1,8,2,0.0,,4,6,0.0,,,,,,,,,,,,,,1,1,0,,4.0,5.0,0.0,,6.0,2.0,0.0,,1,0,0,,,,,
1913,NHA,TBS,8,2,0.0,,5,5,0.0,,,,,,,,,,,,,,1,1,0,,6.0,3.0,0.0,,6.0,2.0,0.0,,0,1,0,,,,,
1913,NHA,TOO,4,6,0.0,,0,10,0.0,,,,,,,,,,,,,,1,1,0,,3.0,6.0,0.0,,0.0,8.0,0.0,,0,1,0,,,,,
1913,PCHA,VA1,6,3,0.0,,4,3,0.0,,,,,,,,,,,,,,2,2,0,,4.0,3.0,0.0,,4.0,1.0,0.0,,,,,,,,,
1913,PCHA,VML,3,6,0.0,,4,3,0.0,,,,,,,,,,,,,,3,2,0,,3.0,2.0,0.0,,1.0,5.0,0.0,,,,,,,,,
1914,NHA,MOC,4,5,0.0,,2,9,0.0,,,,,,,,,,,,,,0,2,0,,2.0,7.0,0.0,,4.0,4.0,0.0,,0,1,0,,,,,
1914,NHA,MOW,9,2,0.0,,5,4,0.0,,,,,,,,,,,,,,2,0,0,,5.0,4.0,0.0,,6.0,2.0,0.0,,1,0,0,,,,,
1914,NHA,OT1,9,1,0.0,,5,5,0.0,,,,,,,,,,,,,,2,0,0,,6.0,3.0,0.0,,5.0,3.0,0.0,,1,0,0,,,,,
1914,PCHA,PO1,6,3,0.0,,3,6,0.0,,,,,,,,,,,,,,2,2,0,,3.0,2.0,0.0,,2.0,5.0,0.0,,2,0,0,,,,,
1914,NHA,QU1,8,2,0.0,,3,7,0.0,,,,,,,,,,,,,,1,1,0,,4.0,5.0,0.0,,6.0,2.0,0.0,,0,1,0,,,,,
1914,NHA,TBS,6,5,0.0,,2,7,0.0,,,,,,,,,,,,,,1,1,0,,6.0,3.0,0.0,,1.0,7.0,0.0,,0,1,0,,,,,
1914,NHA,TOO,5,4,0.0,,2,9,0.0,,,,,,,,,,,,,,0,2,0,,4.0,5.0,0.0,,2.0,6.0,0.0,,1,0,0,,,,,
1914,PCHA,VA1,4,4,0.0,,0,9,0.0,,,,,,,,,,,,,,0,4,0,,2.0,3.0,0.0,,2.0,3.0,0.0,,0,3,0,,,,,
1914,PCHA,VML,7,2,0.0,,6,2,0.0,,,,,,,,,,,,,,4,0,0,,3.0,3.0,0.0,,5.0,1.0,0.0,,1,0,0,,,,,
1915,NHA,MOC,9,4,0.0,,7,3,1.0,,,,,,,,,,,,,,1,2,0,,4.0,3.0,1.0,,6.0,2.0,0.0,,5,0,0,,,,,
1915,NHA,MOW,5,6,0.0,,5,8,0.0,,,,,,,,,,,,,,4,0,0,,3.0,5.0,0.0,,3.0,4.0,0.0,,0,5,0,,,,,
1915,NHA,OT1,8,4,0.0,,5,7,0.0,,,,,,,,,,,,,,1,2,0,,5.0,3.0,0.0,,5.0,4.0,0.0,,2,2,0,,,,,
1915,PCHA,PO1,8,2,0.0,,5,3,0.0,,,,,,,,,,,,,,4,1,0,,4.0,2.0,0.0,,5.0,2.0,0.0,,,,,,,,,
1915,NHA,QU1,7,3,2.0,,3,9,0.0,,,,,,,,,,,,,,2,1,0,,5.0,3.0,1.0,,1.0,5.0,1.0,,2,3,0,,,,,
1915,PCHA,SEA,7,3,0.0,,2,6,0.0,,,,,,,,,,,,,,3,2,0,,1.0,5.0,0.0,,5.0,2.0,0.0,,,,,,,,,
1915,NHA,TBS,8,4,0.0,,1,10,1.0,,,,,,,,,,,,,,0,3,0,,3.0,6.0,0.0,,3.0,3.0,1.0,,3,2,0,,,,,
1915,PCHA,VA1,3,4,0.0,,2,9,0.0,,,,,,,,,,,,,,2,3,0,,1.0,5.0,0.0,,2.0,5.0,0.0,,,,,,,,,
1915,PCHA,VML,5,4,0.0,,4,5,0.0,,,,,,,,,,,,,,1,4,0,,6.0,0.0,0.0,,2.0,5.0,0.0,,,,,,,,,
1916,NHA,MOC,5,5,0.0,,5,5,0.0,,,,,,,,,,,,,,0,2,0,,7.0,2.0,0.0,,3.0,5.0,0.0,,0,1,0,,,,,
1916,NHA,MOW,3,7,0.0,,2,8,0.0,,,,,,,,,,,,,,0,2,0,,3.0,6.0,0.0,,1.0,7.0,0.0,,1,0,0,,,,,
1916,NHA,OT1,9,1,0.0,,6,4,0.0,,,,,,,,,,,,,,1,1,0,,6.0,3.0,0.0,,7.0,1.0,0.0,,1,0,0,,,,,
1916,PCHA,PO1,8,4,0.0,,1,11,0.0,,,,,,,,,,,,,,3,5,0,,3.0,5.0,0.0,,3.0,4.0,0.0,,0,1,0,,,,,
1916,NHA,QU1,7,3,0.0,,3,7,0.0,,,,,,,,,,,,,,1,1,0,,2.0,7.0,0.0,,7.0,1.0,0.0,,0,1,0,,,,,
1916,PCHA,SEA,11,2,0.0,,5,6,0.0,,,,,,,,,,,,,,5,3,0,,5.0,3.0,0.0,,5.0,2.0,0.0,,1,0,0,,,,,
1916,PCHA,SPO,6,3,0.0,,2,12,0.0,,,,,,,,,,,,,,4,4,0,,3.0,4.0,0.0,,1.0,6.0,0.0,,0,1,0,,,,,
1916,NHA,TBS,4,3,0.0,,3,4,0.0,,,,,,,,,,,,,,2,0,0,,4.0,5.0,0.0,,1.0,2.0,0.0,,,,,,,,,
1916,NHA,TOB,3,4,0.0,,4,3,0.0,,,,,,,,,,,,,,2,0,0,,5.0,4.0,0.0,,0.0,3.0,0.0,,,,,,,,,
1916,PCHA,VML,12,1,0.0,,2,8,0.0,,,,,,,,,,,,,,4,4,0,,4.0,3.0,0.0,,5.0,2.0,0.0,,1,0,0,,,,,
1917,NHL,MTL,8,3,0.0,,5,6,0.0,,,,,,,,,,,,,,3,1,0,,6.0,3.0,0.0,,4.0,4.0,0.0,,0,1,0,,,,,
1917,NHL,MTW,1,2,0.0,,0,3,0.0,,,,,,,,,,,,,,1,3,0,,0.0,2.0,0.0,,,,,,,,,,,,,
1917,NHL,OTS,6,5,0.0,,3,8,0.0,,,,,,,,,,,,,,2,2,0,,3.0,6.0,0.0,,3.0,5.0,0.0,,1,0,0,,,,,
1917,PCHA,PO1,6,3,0.0,,1,8,0.0,,,,,,,,,,,,,,1,0,0,,2.0,5.0,0.0,,3.0,4.0,0.0,,1,2,0,,,,,
1917,PCHA,SEA,8,1,0.0,,3,6,0.0,,,,,,,,,,,,,,,,,,5.0,3.0,0.0,,4.0,3.0,0.0,,2,1,0,,,,,
1917,NHL,TOA,10,1,0.0,,3,8,0.0,,,,,,,,,,,,,,2,2,0,,5.0,3.0,0.0,,5.0,3.0,0.0,,1,1,0,,,,,
1917,PCHA,VML,8,1,0.0,,1,8,0.0,,,,,,,,,,,,,,0,1,0,,4.0,3.0,0.0,,4.0,4.0,0.0,,1,1,0,,,,,
1918,NHL,MTL,7,2,0.0,,3,6,0.0,,,,,,,,,,,,,,2,1,0,,5.0,4.0,0.0,,3.0,3.0,0.0,,,,,,,,,
1918,NHL,OTS,8,1,0.0,,4,5,0.0,,,,,,,,,,,,,,2,1,0,,6.0,4.0,0.0,,4.0,1.0,0.0,,,,,,,,,
1918,PCHA,SEA,5,5,0.0,,6,4,0.0,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,,4.0,4.0,0.0,,2,0,0,,,,,
1918,NHL,TOA,5,4,0.0,,0,9,0.0,,,,,,,,,,,,,,1,3,0,,2.0,5.0,0.0,,2.0,5.0,0.0,,,,,,,,,
1918,PCHA,VA2,4,6,0.0,,3,7,0.0,,,,,,,,,,,,,,,,,,5.0,4.0,0.0,,2.0,6.0,0.0,,0,3,0,,,,,
1918,PCHA,VML,6,4,0.0,,6,4,0.0,,,,,,,,,,,,,,,,,,4.0,5.0,0.0,,6.0,2.0,0.0,,2,1,0,,,,,
1919,NHL,MTL,8,4,0.0,,5,7,0.0,,,,,,,,,,,,,,1,2,0,,7.0,2.0,0.0,,3.0,5.0,0.0,,2,2,0,,,,,
1919,NHL,OTS,11,1,0.0,,8,4,0.0,,,,,,,,,,,,,,2,0,0,,7.0,3.0,0.0,,7.0,1.0,0.0,,3,1,0,,,,,
1919,NHL,QUB,4,8,0.0,,0,12,0.0,,,,,,,,,,,,,,0,2,0,,2.0,8.0,0.0,,1.0,7.0,0.0,,1,3,0,,,,,
1919,PCHA,SEA,8,3,0.0,,4,7,0.0,,,,,,,,,,,,,,1,1,0,,5.0,3.0,0.0,,3.0,5.0,0.0,,3,1,0,,,,,
1919,NHL,TRS,8,4,0.0,,4,8,0.0,,,,,,,,,,,,,,2,1,0,,3.0,6.0,0.0,,5.0,3.0,0.0,,2,2,0,,,,,
1919,PCHA,VA2,8,3,0.0,,2,9,0.0,,,,,,,,,,,,,,1,1,0,,4.0,5.0,0.0,,4.0,4.0,0.0,,1,2,0,,,,,
1919,PCHA,VML,6,5,0.0,,5,6,0.0,,,,,,,,,,,,,,1,1,0,,4.0,5.0,0.0,,5.0,3.0,0.0,,1,2,0,,,,,
1920,NHL,HAM,4,8,0.0,,2,10,0.0,,,,,,,,,,,,,,2,1,0,,1.0,8.0,0.0,,3.0,6.0,0.0,,0,3,0,,,,,
1920,NHL,MTL,9,3,0.0,,4,8,0.0,,,,,,,,,,,,,,0,3,0,,6.0,3.0,0.0,,6.0,3.0,0.0,,1,2,0,,,,,
1920,NHL,OTS,8,4,0.0,,6,6,0.0,,,,,,,,,,,,,,3,0,0,,6.0,3.0,0.0,,3.0,6.0,0.0,,2,1,0,,,,,
1920,PCHA,SEA,9,3,0.0,,3,8,1.0,,,,,,,,,,,,,,3,1,0,,5.0,4.0,0.0,,3.0,5.0,0.0,,1,1,1,,,,,
1920,NHL,TRS,9,3,0.0,,6,6,0.0,,,,,,,,,,,,,,1,2,0,,5.0,4.0,0.0,,6.0,3.0,0.0,,3,0,0,,,,,
1920,PCHA,VA2,7,4,1.0,,3,9,0.0,,,,,,,,,,,,,,0,3,0,,4.0,5.0,0.0,,4.0,4.0,0.0,,2,1,1,,,,,
