playerID,award,year
abelsi01,First Team All-Star,1948
abelsi01,First Team All-Star,1949
abelsi01,Second Team All-Star,1941
abelsi01,Second Team All-Star,1950
alfreda01,All-Rookie,1995
alfreda01,Second Team All-Star,2005
amontto01,All-Rookie,1991
anderto01,First Team All-Star,1941
appssy01,First Team All-Star,1938
appssy01,First Team All-Star,1941
appssy01,Second Team All-Star,1937
appssy01,Second Team All-Star,1940
appssy01,Second Team All-Star,1942
arnasty01,All-Rookie,2002
arnotja01,All-Rookie,1993
ashbeba01,Second Team All-Star,1973
auriela01,First Team All-Star,1936
backsni02,All-Rookie,2007
barbebi01,First Team All-Star,1975
barbebi01,Second Team All-Star,1978
barbebi01,Second Team All-Star,1980
barryma01,First Team All-Star,1936
bathgan01,First Team All-Star,1958
bathgan01,First Team All-Star,1961
bathgan01,Second Team All-Star,1957
bathgan01,Second Team All-Star,1962
bauerbo01,Second Team All-Star,1938
bauerbo01,Second Team All-Star,1939
bauerbo01,Second Team All-Star,1940
bauerbo01,Second Team All-Star,1946
belivje01,First Team All-Star,1954
belivje01,First Team All-Star,1955
belivje01,First Team All-Star,1956
belivje01,First Team All-Star,1958
belivje01,First Team All-Star,1959
belivje01,First Team All-Star,1960
belivje01,Second Team All-Star,1957
belivje01,Second Team All-Star,1963
belivje01,Second Team All-Star,1965
belivje01,Second Team All-Star,1968
bellbr01,All-Rookie,1984
bellobr01,Second Team All-Star,1989
bennibr01,All-Rookie,1986
bentldo01,First Team All-Star,1942
bentldo01,First Team All-Star,1943
bentldo01,First Team All-Star,1946
bentldo01,Second Team All-Star,1948
bentlma01,First Team All-Star,1945
bentlma01,Second Team All-Star,1946
berarbr01,All-Rookie,1996
berezse01,All-Rookie,1996
bergfni01,All-Rookie,2009
berglpa01,All-Rookie,2008
bertuto01,First Team All-Star,2002
blakero01,All-Rookie,1990
blakero01,First Team All-Star,1997
blakero01,Second Team All-Star,1999
blakero01,Second Team All-Star,2000
blakero01,Second Team All-Star,2001
blaketo01,First Team All-Star,1938
blaketo01,First Team All-Star,1939
blaketo01,First Team All-Star,1944
blaketo01,Second Team All-Star,1937
blaketo01,Second Team All-Star,1945
bossymi01,First Team All-Star,1980
bossymi01,First Team All-Star,1981
bossymi01,First Team All-Star,1982
bossymi01,First Team All-Star,1983
bossymi01,First Team All-Star,1985
bossymi01,Second Team All-Star,1977
bossymi01,Second Team All-Star,1978
bossymi01,Second Team All-Star,1984
bouchbu01,First Team All-Star,1944
bouchbu01,First Team All-Star,1945
bouchbu01,First Team All-Star,1946
bouchbu01,Second Team All-Star,1943
bouchfr01,First Team All-Star,1932
bouchfr01,First Team All-Star,1933
bouchfr01,First Team All-Star,1934
bouchfr01,Second Team All-Star,1930
bourqra01,First Team All-Star,1979
bourqra01,First Team All-Star,1981
bourqra01,First Team All-Star,1983
bourqra01,First Team All-Star,1984
bourqra01,First Team All-Star,1986
bourqra01,First Team All-Star,1987
bourqra01,First Team All-Star,1989
bourqra01,First Team All-Star,1990
bourqra01,First Team All-Star,1991
bourqra01,First Team All-Star,1992
bourqra01,First Team All-Star,1993
bourqra01,First Team All-Star,1995
bourqra01,First Team All-Star,2000
bourqra01,Second Team All-Star,1980
bourqra01,Second Team All-Star,1982
bourqra01,Second Team All-Star,1985
bourqra01,Second Team All-Star,1988
bourqra01,Second Team All-Star,1994
bourqra01,Second Team All-Star,1998
bouwmja01,All-Rookie,2002
boyesbr01,All-Rookie,2005
boyleda01,Second Team All-Star,2006
boyleda01,Second Team All-Star,2008
boyntni01,All-Rookie,2001
breweca01,First Team All-Star,1962
breweca01,Second Team All-Star,1961
breweca01,Second Team All-Star,1964
breweca01,Second Team All-Star,1969
brindro01,All-Rookie,1989
bucykjo01,First Team All-Star,1970
bucykjo01,Second Team All-Star,1967
bullehy01,Second Team All-Star,1951
burepa01,First Team All-Star,1993
burepa01,Second Team All-Star,1999
burepa01,Second Team All-Star,2000
cainhe01,Second Team All-Star,1943
campbbr02,Second Team All-Star,2007
campbji01,All-Rookie,1996
carlema01,All-Rookie,2006
carlsjo01,All-Rookie,2010
carlyra01,First Team All-Star,1980
carrlo01,First Team All-Star,1942
carrlo01,First Team All-Star,1943
carsoji01,All-Rookie,1986
cashmwa01,Second Team All-Star,1973
chapmar01,Second Team All-Star,1936
charazd01,First Team All-Star,2003
charazd01,First Team All-Star,2008
charazd01,Second Team All-Star,2005
charazd01,Second Team All-Star,2007
charazd01,Second Team All-Star,2010
charazd01,Second Team All-Star,2011
chelich01,All-Rookie,1984
chelich01,First Team All-Star,1988
chelich01,First Team All-Star,1992
chelich01,First Team All-Star,1994
chelich01,First Team All-Star,1995
chelich01,First Team All-Star,2001
chelich01,Second Team All-Star,1990
chelich01,Second Team All-Star,1996
chevrre01,Second Team All-Star,1956
clancki01,First Team All-Star,1930
clancki01,First Team All-Star,1933
clancki01,Second Team All-Star,1931
clancki01,Second Team All-Star,1932
clappdi01,First Team All-Star,1938
clappdi01,First Team All-Star,1939
clappdi01,First Team All-Star,1940
clappdi01,Second Team All-Star,1930
clappdi01,Second Team All-Star,1934
clappdi01,Second Team All-Star,1943
clarkbo01,First Team All-Star,1974
clarkbo01,First Team All-Star,1975
clarkbo01,Second Team All-Star,1972
clarkbo01,Second Team All-Star,1973
clarkwe01,All-Rookie,1985
coffepa01,First Team All-Star,1984
coffepa01,First Team All-Star,1985
coffepa01,First Team All-Star,1988
coffepa01,First Team All-Star,1994
coffepa01,Second Team All-Star,1981
coffepa01,Second Team All-Star,1982
coffepa01,Second Team All-Star,1983
coffepa01,Second Team All-Star,1989
colvine01,Second Team All-Star,1938
colvine01,Second Team All-Star,1939
colvine01,Second Team All-Star,1947
conacch01,First Team All-Star,1933
conacch01,First Team All-Star,1934
conacch01,First Team All-Star,1935
conacch01,Second Team All-Star,1931
conacch01,Second Team All-Star,1932
conacli01,First Team All-Star,1933
conacli01,Second Team All-Star,1932
conacli01,Second Team All-Star,1936
conacro01,First Team All-Star,1948
cookbi01,First Team All-Star,1930
cookbi01,First Team All-Star,1931
cookbi01,First Team All-Star,1932
cookbi01,Second Team All-Star,1933
cookbu01,Second Team All-Star,1930
coultar01,Second Team All-Star,1934
coultar01,Second Team All-Star,1937
coultar01,Second Team All-Star,1938
coultar01,Second Team All-Star,1939
cournyv01,Second Team All-Star,1968
cournyv01,Second Team All-Star,1970
cournyv01,Second Team All-Star,1971
cournyv01,Second Team All-Star,1972
coutulo01,All-Rookie,2010
cowlebi01,First Team All-Star,1937
cowlebi01,First Team All-Star,1940
cowlebi01,First Team All-Star,1942
cowlebi01,First Team All-Star,1943
cowlebi01,Second Team All-Star,1944
crawfja01,First Team All-Star,1945
crawfja01,Second Team All-Star,1942
crosbsi01,All-Rookie,2005
crosbsi01,First Team All-Star,2006
crosbsi01,Second Team All-Star,2009
dahlikj01,All-Rookie,1985
daousda01,All-Rookie,1982
datsypa01,Second Team All-Star,2008
dazeer01,All-Rookie,1995
delveal01,Second Team All-Star,1952
delveal01,Second Team All-Star,1958
delzomi01,All-Rookie,2009
desjaer01,Second Team All-Star,1998
desjaer01,Second Team All-Star,1999
dilloce01,First Team All-Star,1937
dilloce01,Second Team All-Star,1935
dilloce01,Second Team All-Star,1936
dionngi01,All-Rookie,1991
dionnma01,First Team All-Star,1976
dionnma01,First Team All-Star,1979
dionnma01,Second Team All-Star,1978
dionnma01,Second Team All-Star,1980
doughdr01,All-Rookie,2008
doughdr01,Second Team All-Star,2009
drillgo01,First Team All-Star,1937
drillgo01,First Team All-Star,1938
drillgo01,Second Team All-Star,1941
drurych01,All-Rookie,1998
duchema01,All-Rookie,2009
duchest01,All-Rookie,1986
dumarwo01,Second Team All-Star,1939
dumarwo01,Second Team All-Star,1940
dumarwo01,Second Team All-Star,1946
duncaia01,All-Rookie,1987
eganpa01,Second Team All-Star,1941
eliaspa01,All-Rookie,1997
eliaspa01,First Team All-Star,2000
engblbr01,Second Team All-Star,1981
enstrto01,All-Rookie,2007
eriksth01,All-Rookie,1983
esposph01,First Team All-Star,1968
esposph01,First Team All-Star,1969
esposph01,First Team All-Star,1970
esposph01,First Team All-Star,1971
esposph01,First Team All-Star,1972
esposph01,First Team All-Star,1973
esposph01,Second Team All-Star,1967
esposph01,Second Team All-Star,1974
faulkju01,All-Rookie,2011
fedorse01,All-Rookie,1990
fedorse01,First Team All-Star,1993
flamafe01,Second Team All-Star,1954
flamafe01,Second Team All-Star,1956
flamafe01,Second Team All-Star,1957
fleurth01,Second Team All-Star,1994
forsbpe01,All-Rookie,1994
forsbpe01,First Team All-Star,1997
forsbpe01,First Team All-Star,1998
forsbpe01,First Team All-Star,2002
friesje01,All-Rookie,1994
gaborma01,Second Team All-Star,2011
gadsbbi01,First Team All-Star,1955
gadsbbi01,First Team All-Star,1957
gadsbbi01,First Team All-Star,1958
gadsbbi01,Second Team All-Star,1952
gadsbbi01,Second Team All-Star,1953
gadsbbi01,Second Team All-Star,1956
gadsbbi01,Second Team All-Star,1964
gagnesi01,All-Rookie,1999
gallage01,Second Team All-Star,1988
gardija01,All-Rookie,2011
gareda01,Second Team All-Star,1979
geoffbe01,First Team All-Star,1960
geoffbe01,Second Team All-Star,1954
geoffbe01,Second Team All-Star,1959
gilbero01,First Team All-Star,1971
gilbero01,Second Team All-Star,1967
gilbeto01,All-Rookie,2007
gillicl01,First Team All-Star,1977
gillicl01,First Team All-Star,1978
goldhbo01,Second Team All-Star,1954
gomezsc01,All-Rookie,1999
gonchse01,Second Team All-Star,2001
gonchse01,Second Team All-Star,2002
goodfeb01,First Team All-Star,1936
goodfeb01,First Team All-Star,1939
goodfeb01,Second Team All-Star,1935
gottsjo01,Second Team All-Star,1938
goulemi01,First Team All-Star,1983
goulemi01,First Team All-Star,1985
goulemi01,First Team All-Star,1986
goulemi01,Second Team All-Star,1982
goulemi01,Second Team All-Star,1987
grabnmi01,All-Rookie,2010
granato01,All-Rookie,1988
gravead01,Second Team All-Star,1993
greenmi03,First Team All-Star,2008
greenmi03,First Team All-Star,2009
greente01,Second Team All-Star,1968
gretzwa01,First Team All-Star,1980
gretzwa01,First Team All-Star,1981
gretzwa01,First Team All-Star,1982
gretzwa01,First Team All-Star,1983
gretzwa01,First Team All-Star,1984
gretzwa01,First Team All-Star,1985
gretzwa01,First Team All-Star,1986
gretzwa01,First Team All-Star,1990
gretzwa01,Second Team All-Star,1979
gretzwa01,Second Team All-Star,1987
gretzwa01,Second Team All-Star,1988
gretzwa01,Second Team All-Star,1989
gretzwa01,Second Team All-Star,1993
gretzwa01,Second Team All-Star,1996
gretzwa01,Second Team All-Star,1997
gueribi01,Second Team All-Star,2001
hadfivi01,Second Team All-Star,1971
harmogl01,Second Team All-Star,1944
harmogl01,Second Team All-Star,1948
harrite01,Second Team All-Star,1968
harvedo01,First Team All-Star,1951
harvedo01,First Team All-Star,1952
harvedo01,First Team All-Star,1953
harvedo01,First Team All-Star,1954
harvedo01,First Team All-Star,1955
harvedo01,First Team All-Star,1956
harvedo01,First Team All-Star,1957
harvedo01,First Team All-Star,1959
harvedo01,First Team All-Star,1960
harvedo01,First Team All-Star,1961
harvedo01,Second Team All-Star,1958
hatchde01,Second Team All-Star,2002
havlama01,All-Rookie,2000
hawerda01,Second Team All-Star,1984
heatlda01,All-Rookie,2001
heatlda01,First Team All-Star,2006
heatlda01,Second Team All-Star,2005
hejdumi01,All-Rookie,1998
hejdumi01,Second Team All-Star,2002
helleot01,Second Team All-Star,1940
henriad01,All-Rookie,2011
henryca01,Second Team All-Star,1957
hextabr01,First Team All-Star,1939
hextabr01,First Team All-Star,1940
