playerID,firstName,lastName,height,weight,pos,birthYear,birthCountry
aaltoan01,Antti,Aalto,73.0,210.0,C,1975.0,Finland
abbeybr01,Bruce,Abbey,73.0,185.0,D,1951.0,Canada
abbotre01,Reg,Abbott,71.0,164.0,C,1930.0,Canada
abdelju01,Justin,Abdelkader,73.0,195.0,L,1987.0,USA
abelcl01,Clarence,Abel,73.0,225.0,D,1900.0,USA
abelge01,Gerry,Abel,74.0,168.0,L,1944.0,USA
abelsi01,Sid,Abel,71.0,170.0,C,1918.0,Canada
abgrade01,Dennis,Abgrall,73.0,180.0,R,1953.0,Canada
abidra01,Ramzi,Abid,74.0,210.0,L,1980.0,Canada
abrahth01,Thommy,Abrahamsson,74.0,185.0,D,1947.0,Sweden
achtyge01,Gene,Achtymichuk,71.0,170.0,C,1932.0,Canada
acombdo01,Doug,Acomb,71.0,165.0,C,1949.0,Canada
actonke01,Keith,Acton,68.0,170.0,C,1958.0,Canada
adairji01,Jim,Adair,71.0,180.0,C,1948.0,Canada
adamdo01,Douglas,Adam,71.0,165.0,L,1923.0,Canada
adamipe01,Petr,Adamik,,,,,
adamlu01,Luke,Adam,74.0,203.0,L,1990.0,Canada
adamru01,Russ,Adam,70.0,185.0,C,1961.0,Canada
adamsbi01,Bill,Adams,,,R,,
adamsbr01,Bryan,Adams,72.0,185.0,L,1977.0,Canada
adamscr01,Craig,Adams,72.0,200.0,R,1977.0,Brunei Darussalam
adamsgr01,Greg,Adams,73.0,190.0,L,1960.0,Canada
adamsgr02,Greg,Adams,75.0,195.0,L,1963.0,Canada
adamsja01,Jack,Adams,69.0,175.0,C,1895.0,Canada
adamsjo01,John,Adams,70.0,163.0,L,1920.0,Canada
adamske01,Kevyn,Adams,73.0,200.0,C,1974.0,USA
adamsst01,Stew,Adams,70.0,165.0,L,1904.0,Canada
adduora01,Ray,Adduono,69.0,160.0,C,1947.0,Canada
adduori01,Rick,Adduono,71.0,182.0,C,1955.0,Canada
afanadm01,Dmitry,Afanasenkov,74.0,209.0,L,1980.0,Russia
afflebr01,Bruce,Affleck,72.0,205.0,D,1954.0,Canada
afinoma01,Maxim,Afinogenov,72.0,191.0,R,1979.0,Russia
agnewji01,Jim,Agnew,73.0,190.0,D,1966.0,Canada
ahearke01,Kevin,Ahearn,70.0,160.0,L,1948.0,USA
ahernfr01,Fred,Ahern,72.0,180.0,R,1952.0,USA
ahlinru01,Rudy,Ahlin,71.0,176.0,L,1908.0,USA
ahokase01,Seppo,Ahokainen,,,,,
aholape01,Peter,Ahola,75.0,205.0,D,1968.0,Finland
ahrench01,Chris,Ahrens,72.0,185.0,D,1952.0,USA
ailsbll01,Lloyd,Ailsby,71.0,194.0,D,1917.0,Canada
aitkebr01,Brad,Aitken,74.0,200.0,L,1967.0,Canada
aitkejo01,Johnathan,Aitken,76.0,230.0,D,1978.0,Canada
aivazmi01,Micah,Aivazoff,72.0,195.0,C,1969.0,Canada
alatami01,Mika,Alatalo,72.0,202.0,L,1971.0,Finland
albelto01,Tommy,Albelin,74.0,195.0,D,1964.0,Sweden
alberan01,Andrew,Alberts,76.0,216.0,D,1981.0,USA
albricl01,Clint,Albright,74.0,180.0,C,1926.0,Canada
aldcoga01,Gary,Aldcorn,71.0,170.0,L,1935.0,Canada
aldrike01,Keith,Aldridge,71.0,185.0,D,1973.0,USA
alexaar01,Art,Alexandre,65.0,150.0,L,1909.0,Canada
alexacl01,Claire,Alexander,73.0,175.0,D,1945.0,Canada
alexeni01,Nikita,Alexeev,77.0,227.0,R,1981.0,Russia
alfreda01,Daniel,Alfredsson,71.0,207.0,R,1972.0,Sweden
aliuak01,Akim,Aliu,76.0,225.0,R,1989.0,
allanje01,Jeff,Allan,73.0,194.0,D,1957.0,Canada
allenbo01,Bobby,Allen,73.0,215.0,D,1978.0,USA
allenbr01,Bryan,Allen,76.0,220.0,D,1980.0,Canada
allench01,Chris,Allen,74.0,197.0,D,1978.0,Canada
allenge01,George,Allen,70.0,162.0,L,1914.0,Canada
allenke01,Keith,Allen,71.0,190.0,D,1923.0,Canada
allenpe01,Peter,Allen,74.0,200.0,D,1970.0,Canada
allenvi01,Viv,Allen,66.0,140.0,R,1916.0,Canada
alleyst01,Steve,Alley,72.0,185.0,L,1953.0,USA
allisda01,Dave,Allison,73.0,200.0,D,1959.0,Canada
allisja01,Jason,Allison,75.0,215.0,C,1975.0,Canada
allisja02,Jamie,Allison,73.0,210.0,D,1975.0,Canada
allismi01,Mike,Allison,72.0,200.0,L,1961.0,Canada
allisra01,Ray,Allison,70.0,195.0,R,1959.0,Canada
allumbi01,Bill,Allum,71.0,194.0,D,1916.0,Canada
almonco01,Cody,Almond,74.0,199.0,C,1989.0,Canada
alzneka01,Karl,Alzner,74.0,206.0,D,1988.0,Canada
amadida01,Dave,Amadio,73.0,207.0,D,1939.0,Canada
ambrope01,Peter,Ambroziak,72.0,206.0,L,1971.0,Canada
amodemi01,Mike,Amodeo,70.0,190.0,D,1952.0,Canada
amontto01,Tony,Amonte,72.0,200.0,R,1970.0,USA
anderbi01,Bill,Anderson,72.0,190.0,D,1912.0,Canada
anderda01,Dale,Anderson,75.0,190.0,D,1932.0,Canada
anderdo01,Doug,Anderson,67.0,157.0,C,1927.0,Canada
anderea01,Earl,Anderson,73.0,185.0,R,1951.0,USA
anderer01,Erik,Andersson,75.0,210.0,L,1971.0,Sweden
anderer02,Ernie,Anderson,66.0,130.0,R,1898.0,Canada
andergl01,Glenn,Anderson,73.0,190.0,R,1960.0,Canada
anderji01,Jim,Anderson,70.0,165.0,L,1930.0,Canada
anderjo01,John,Anderson,71.0,200.0,L,1957.0,Canada
anderjo02,Jonas,Andersson,74.0,202.0,R,1981.0,Sweden
anderjo03,Jocko,Anderson,67.0,150.0,L,1892.0,Canada
anderjo04,Joakim,Andersson,74.0,198.0,C,1989.0,
anderke01,Kent-Erik,Andersson,74.0,185.0,R,1951.0,Sweden
andermi01,Mikael,Andersson,71.0,181.0,L,1966.0,Sweden
andermu01,Murray,Anderson,70.0,175.0,D,1949.0,Canada
anderni01,Niklas,Andersson,69.0,180.0,L,1971.0,Sweden
anderpe01,Perry,Anderson,73.0,225.0,L,1961.0,Canada
anderpe02,Peter,Andersson,74.0,200.0,D,1962.0,Sweden
anderpe03,Peter,Andersson,72.0,196.0,D,1965.0,Sweden
anderro01,Ron,Anderson,72.0,170.0,R,1945.0,Canada
anderro02,Ron,Anderson,70.0,165.0,R,1950.0,Canada
anderro03,Ron F.,Anderson,72.0,190.0,D,1948.0,Canada
anderru01,Russ,Anderson,75.0,210.0,D,1955.0,USA
andersh01,Shawn,Anderson,73.0,200.0,D,1968.0,Canada
anderto01,Tom,Anderson,70.0,180.0,L/D,1910.0,Scotland
andrast01,Steve,Andrascik,71.0,200.0,R,1948.0,Canada
andreal01,Alexander,Andrevi,,,,,
andreda01,Dave,Andreychuk,76.0,220.0,L,1963.0,Canada
andrell01,Lloyd,Andrews,68.0,155.0,L,1899.0,Canada
andrepa01,Paul,Andrea,70.0,174.0,R,1941.0,Canada
andrial01,Alexander,Andrievski,77.0,211.0,R,1968.0,Belarus
andrugr01,Greg,Andrusak,73.0,195.0,D,1969.0,Canada
andruro01,Ron,Andruff,72.0,185.0,C,1953.0,Canada
angelme01,Mel,Angelstad,74.0,214.0,L,1972.0,Canada
angelmi01,Mike,Angelidis,73.0,200.0,C,1985.0,
angotlo01,Lou,Angotti,69.0,170.0,C,1938.0,Canada
anholda01,Darrel,Anholt,74.0,230.0,D,1962.0,Canada
anisiar01,Artem,Anisimov,75.0,190.0,C,1988.0,Russia
anslohu01,Hub,Anslow,72.0,173.0,L,1926.0,Canada
antonmi01,Mike,Antonovich,68.0,155.0,C,1951.0,USA
antossh01,Shawn,Antoski,76.0,235.0,L,1970.0,Canada
antroni01,Nik,Antropov,78.0,230.0,C,1980.0,Russia
appssy01,Syl,Apps,72.0,185.0,C,1915.0,Canada
appssy02,Syl,Apps,72.0,185.0,C,1947.0,Canada
arboual01,Al,Arbour,72.0,180.0,D,1932.0,Canada
arbouam01,Amos,Arbour,68.0,160.0,L,1895.0,Canada
arbouja01,Jack,Arbour,68.0,172.0,D,1897.0,Canada
arboujo01,John,Arbour,71.0,195.0,D,1945.0,Canada
arbouty01,Ty,Arbour,67.0,160.0,L,1896.0,Canada
archami01,Michel,Archambault,68.0,160.0,L,1950.0,Canada
archida01,Dave,Archibald,73.0,210.0,C,1969.0,Canada
archiji01,Jim,Archibald,71.0,175.0,R,1961.0,Canada
areshro01,Ron,Areshenkoff,72.0,175.0,C,1957.0,Canada
arkhide01,Denis,Arkhipov,75.0,214.0,C,1979.0,Russia
armstbi01,Bill,Armstrong,74.0,195.0,C,1966.0,Canada
armstbo01,Bob,Armstrong,73.0,190.0,D,1931.0,Canada
armstch01,Chris,Armstrong,72.0,205.0,D,1975.0,Canada
armstco01,Colby,Armstrong,74.0,188.0,R,1982.0,Canada
armstde01,Derek,Armstrong,72.0,190.0,C,1973.0,Canada
armstge01,George,Armstrong,73.0,184.0,R,1930.0,Canada
armstmu01,Murray,Armstrong,70.0,170.0,C,1916.0,Canada
armstno01,Norm,Armstrong,71.0,205.0,D/L,1938.0,Canada
armstri01,Riley,Armstrong,71.0,185.0,R,1984.0,Canada
armstti01,Tim,Armstrong,71.0,170.0,C,1967.0,Canada
arnasch01,Chuck,Arnason,70.0,183.0,R,1951.0,Canada
arnasty01,Tyler,Arnason,71.0,204.0,C,1979.0,USA
arndtda01,Danny,Arndt,71.0,175.0,L,1955.0,Canada
arnieja01,Jamie,Arniel,71.0,183.0,C,1989.0,Canada
arniesc01,Scott,Arniel,73.0,188.0,L,1962.0,Canada
arnotja01,Jason,Arnott,76.0,220.0,C,1974.0,Canada
arsende01,Dean,Arsene,74.0,195.0,D,1980.0,Canada
arthufr01,Fred,Arthur,77.0,210.0,D,1961.0,Canada
artyuev01,Evgeny,Artyukhin,77.0,254.0,R,1983.0,Russia
arundjo01,John,Arundel,71.0,181.0,D,1927.0,Canada
arvedma01,Magnus,Arvedson,74.0,198.0,L,1971.0,Sweden
aseltja01,Jack,Aseltine,68.0,167.0,R,1896.0,Canada
ashamar01,Arron,Asham,71.0,210.0,R,1978.0,Canada
ashbeba01,Barry,Ashbee,70.0,180.0,D,1939.0,Canada
ashbo01,Bob,Ash,69.0,170.0,D,1943.0,Canada
ashbydo01,Don,Ashby,73.0,185.0,C,1955.0,Canada
ashtobr01,Brent,Ashton,73.0,210.0,L,1960.0,Canada
ashtoca01,Carter,Ashton,75.0,215.0,R,1991.0,
