year,tmID,name
1917,MTL,Montreal Canadiens
1917,MTW,Montreal Wanderers
1917,OTS,Ottawa Senators
1917,TOA,Toronto Arenas
1918,MTL,Montreal Canadiens
1918,OTS,Ottawa Senators
1918,TOA,Toronto Arenas
1919,MTL,Montreal Canadiens
1919,OTS,Ottawa Senators
1919,QUB,Quebec Bulldogs
1919,TRS,Toronto St. Patricks
1920,HAM,Hamilton Tigers
1920,MTL,Montreal Canadiens
1920,OTS,Ottawa Senators
1920,TRS,Toronto St. Patricks
1921,HAM,Hamilton Tigers
1921,MTL,Montreal Canadiens
1921,OTS,Ottawa Senators
1921,TRS,Toronto St. Patricks
1922,HAM,Hamilton Tigers
1922,MTL,Montreal Canadiens
1922,OTS,Ottawa Senators
1922,TRS,Toronto St. Patricks
1923,HAM,Hamilton Tigers
1923,MTL,Montreal Canadiens
1923,OTS,Ottawa Senators
1923,TRS,Toronto St. Patricks
1924,BOS,Boston Bruins
1924,HAM,Hamilton Tigers
1924,MTL,Montreal Canadiens
1924,MTM,Montreal Maroons
1924,OTS,Ottawa Senators
1924,TRS,Toronto St. Patricks
1925,BOS,Boston Bruins
1925,MTL,Montreal Canadiens
1925,MTM,Montreal Maroons
1925,NYA,New York Americans
1925,OTS,Ottawa Senators
1925,PIP,Pittsburgh Pirates
1925,TRS,Toronto St. Patricks
1926,BOS,Boston Bruins
1926,CHI,Chicago Black Hawks
1926,DTC,Detroit Cougars
1926,MTL,Montreal Canadiens
1926,MTM,Montreal Maroons
1926,NYA,New York Americans
1926,NYR,New York Rangers
1926,OTS,Ottawa Senators
1926,PIP,Pittsburgh Pirates
1926,TRS,Toronto St. Patricks
1927,BOS,Boston Bruins
1927,CHI,Chicago Black Hawks
1927,DTC,Detroit Cougars
1927,MTL,Montreal Canadiens
1927,MTM,Montreal Maroons
1927,NYA,New York Americans
1927,NYR,New York Rangers
1927,OTS,Ottawa Senators
1927,PIP,Pittsburgh Pirates
1927,TOR,Toronto Maple Leafs
1928,BOS,Boston Bruins
1928,CHI,Chicago Black Hawks
1928,DTC,Detroit Cougars
1928,MTL,Montreal Canadiens
1928,MTM,Montreal Maroons
1928,NYA,New York Americans
